平成29年1月1日住民基本台帳人口・世帯数、平成28年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
団体コード,都道府県名,市区町村名,平成29年,,,,平成28年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,,,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
372072,香川県,東かがわ市,"15,202","16,754","31,956","14,029",598,82,680,154,7,841,647,77,724,518,8,"1,250",-409,-1.26 ,-364,-1.12 ,-45,-0.14 
372081,香川県,三豊市,"32,410","35,072","67,482","25,921","1,324",413,"1,737",424,13,"2,174","1,627",157,"1,784",973,19,"2,776",-602,-0.88 ,-549,-0.81 ,-53,-0.08 
373206,香川県,小豆郡,"14,130","15,612","29,742","13,923",728,64,792,173,13,978,939,46,985,478,20,"1,483",-505,-1.67 ,-305,-1.01 ,-200,-0.66 
373222,香川県,小豆郡土庄町,"6,838","7,666","14,504","6,842",349,43,392,92,9,493,458,19,477,225,9,711,-218,-1.48 ,-133,-0.90 ,-85,-0.58 
373249,香川県,小豆郡小豆島町,"7,292","7,946","15,238","7,081",379,21,400,81,4,485,481,27,508,253,11,772,-287,-1.85 ,-172,-1.11 ,-115,-0.74 
373401,香川県,木田郡,"13,828","14,776","28,604","11,856",843,80,923,221,1,"1,145",810,81,891,281,1,"1,173",-28,-0.10 ,-60,-0.21 ,32,0.11 
373419,香川県,木田郡三木町,"13,828","14,776","28,604","11,856",843,80,923,221,1,"1,145",810,81,891,281,1,"1,173",-28,-0.10 ,-60,-0.21 ,32,0.11 
373605,香川県,香川郡,"1,614","1,539","3,153","1,575",192,0,192,22,0,214,165,0,165,40,0,205,9,0.29 ,-18,-0.57 ,27,0.86 
373648,香川県,香川郡直島町,"1,614","1,539","3,153","1,575",192,0,192,22,0,214,165,0,165,40,0,205,9,0.29 ,-18,-0.57 ,27,0.86 
373800,香川県,綾歌郡,"21,001","22,141","43,142","18,248","1,876",283,"2,159",358,23,"2,540","1,962",83,"2,045",515,88,"2,648",-108,-0.25 ,-157,-0.36 ,49,0.11 
373869,香川県,綾歌郡宇多津町,"9,061","9,495","18,556","8,453","1,210",89,"1,299",209,19,"1,527","1,222",11,"1,233",159,87,"1,479",48,0.26 ,50,0.27 ,-2,-0.01 
373877,香川県,綾歌郡綾川町,"11,940","12,646","24,586","9,795",666,194,860,149,4,"1,013",740,72,812,356,1,"1,169",-156,-0.63 ,-207,-0.84 ,51,0.21 
374008,香川県,仲多度郡,"25,461","26,843","52,304","22,358","1,449",294,"1,743",334,21,"2,098","1,610",63,"1,673",716,83,"2,472",-374,-0.71 ,-382,-0.73 ,8,0.02 
374032,香川県,仲多度郡琴平町,"4,412","4,992","9,404","4,267",271,42,313,39,4,356,327,28,355,158,11,524,-168,-1.76 ,-119,-1.24 ,-49,-0.51 
374041,香川県,仲多度郡多度津町,"11,799","11,870","23,669","10,614",789,204,993,171,15,"1,179",885,13,898,279,59,"1,236",-57,-0.24 ,-108,-0.46 ,51,0.21 
374067,香川県,仲多度郡まんのう町,"9,250","9,981","19,231","7,477",389,48,437,124,2,563,398,22,420,279,13,712,-149,-0.77 ,-155,-0.80 ,6,0.03 
380008,愛媛県,,"666,134","739,191","1,405,325","651,763","36,137","3,731","39,868","9,947",485,"50,300","40,124","2,394","42,518","17,744",710,"60,972","-10,672",-0.75 ,"-7,797",-0.55 ,"-2,875",-0.20 
382019,愛媛県,松山市,"242,487","273,395","515,882","246,027","14,531","1,090","15,621","4,258",214,"20,093","15,145",691,"15,836","5,228",204,"21,268","-1,175",-0.23 ,-970,-0.19 ,-205,-0.04 
382027,愛媛県,今治市,"77,587","85,894","163,481","76,245","3,658",992,"4,650","1,064",51,"5,765","4,125",662,"4,787","2,238",28,"7,053","-1,288",-0.78 ,"-1,174",-0.71 ,-114,-0.07 
382035,愛媛県,宇和島市,"36,841","41,914","78,755","36,572","1,626",75,"1,701",440,13,"2,154","2,363",107,"2,470","1,292",59,"3,821","-1,667",-2.07 ,-852,-1.06 ,-815,-1.01 
382043,愛媛県,八幡浜市,"16,470","18,775","35,245","16,436",762,74,836,178,19,"1,033","1,088",38,"1,126",568,25,"1,719",-686,-1.91 ,-390,-1.09 ,-296,-0.82 
382051,愛媛県,新居浜市,"58,181","63,456","121,637","57,361","2,971",237,"3,208",955,33,"4,196","3,118",257,"3,375","1,519",12,"4,906",-710,-0.58 ,-564,-0.46 ,-146,-0.12 
382060,愛媛県,西条市,"53,807","57,812","111,619","50,332","2,703",335,"3,038",801,20,"3,859","2,814",128,"2,942","1,391",137,"4,470",-611,-0.54 ,-590,-0.53 ,-21,-0.02 
382078,愛媛県,大洲市,"21,449","23,423","44,872","20,156","1,092",35,"1,127",287,13,"1,427","1,380",41,"1,421",661,12,"2,094",-667,-1.46 ,-374,-0.82 ,-293,-0.64 
382108,愛媛県,伊予市,"17,770","20,089","37,859","15,896","1,031",67,"1,098",231,5,"1,334","1,104",24,"1,128",488,29,"1,645",-311,-0.81 ,-257,-0.67 ,-54,-0.14 
382132,愛媛県,四国中央市,"43,553","45,917","89,470","38,804","1,822",339,"2,161",659,31,"2,851","2,277",128,"2,405","1,126",92,"3,623",-772,-0.86 ,-467,-0.52 ,-305,-0.34 
382141,愛媛県,西予市,"18,718","21,049","39,767","18,367",816,59,875,218,7,"1,100","1,008",65,"1,073",671,15,"1,759",-659,-1.63 ,-453,-1.12 ,-206,-0.51 
