平成28年1月1日住民基本台帳人口・世帯数、平成27年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
団体コード,都道府県名,市区町村名,平成28年,,,,平成27年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,,,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
,合計,,"62,464,685","65,601,526","128,066,211","56,950,757","5,375,854","504,745","5,880,599","1,024,041","88,899","6,993,539","5,383,655","286,593","5,670,248","1,302,840","180,723","7,153,811","-160,272",-0.12 ,"-278,799",-0.22 ,"118,527",0.09 
010006,北海道,,"2,552,868","2,848,342","5,401,210","2,751,282","250,801","12,038","262,839","36,815","2,393","302,047","259,969","8,214","268,183","60,929","3,383","332,495","-30,448",-0.56 ,"-24,114",-0.44 ,"-6,334",-0.12 
011002,北海道,札幌市,"909,496","1,032,336","1,941,832","1,027,140","122,212","4,474","126,686","14,667",738,"142,091","114,276","3,101","117,377","17,672","1,226","136,275","5,816",0.30 ,"-3,005",-0.16 ,"8,821",0.46 
011011,北海道,札幌市中央区,"104,402","125,980","230,382","136,592","21,648",998,"22,646","1,865",192,"24,703","18,472",537,"19,009","1,923",353,"21,285","3,418",1.51 ,-58,-0.03 ,"3,476",1.53 
011029,北海道,札幌市北区,"134,306","149,086","283,392","147,700","16,461","1,093","17,554","2,093",113,"19,760","15,119",726,"15,845","2,589",325,"18,759","1,001",0.35 ,-496,-0.18 ,"1,497",0.53 
011037,北海道,札幌市東区,"123,665","136,161","259,826","138,498","16,203",580,"16,783","2,130",97,"19,010","14,770",383,"15,153","2,276",145,"17,574","1,436",0.56 ,-146,-0.06 ,"1,582",0.61 
011045,北海道,札幌市白石区,"100,392","110,087","210,479","117,531","14,084",191,"14,275","1,904",66,"16,245","13,641",154,"13,795","1,888",83,"15,766",479,0.23 ,16,0.01 ,463,0.22 
011053,北海道,札幌市豊平区,"101,876","117,195","219,071","121,796","16,257",569,"16,826","1,889",62,"18,777","15,455",377,"15,832","1,896",98,"17,826",951,0.44 ,-7,-0.00 ,958,0.44 
011061,北海道,札幌市南区,"65,497","75,312","140,809","72,126","7,666",227,"7,893",776,41,"8,710","7,849",209,"8,058","1,527",61,"9,646",-936,-0.66 ,-751,-0.53 ,-185,-0.13 
011070,北海道,札幌市西区,"98,408","114,118","212,526","109,951","12,013",242,"12,255","1,651",49,"13,955","11,472",198,"11,670","1,995",48,"13,713",242,0.11 ,-344,-0.16 ,586,0.28 
011088,北海道,札幌市厚別区,"59,476","69,655","129,131","63,696","6,611",231,"6,842",757,38,"7,637","6,517",229,"6,746","1,198",56,"8,000",-363,-0.28 ,-441,-0.34 ,78,0.06 
011096,北海道,札幌市手稲区,"66,773","74,425","141,198","67,312","6,313",199,"6,512",953,38,"7,503","6,053",136,"6,189","1,375",25,"7,589",-86,-0.06 ,-422,-0.30 ,336,0.24 
011100,北海道,札幌市清田区,"54,701","60,317","115,018","51,938","4,956",144,"5,100",649,42,"5,791","4,928",152,"5,080","1,005",32,"6,117",-326,-0.28 ,-356,-0.31 ,30,0.03 
012025,北海道,函館市,"122,413","146,204","268,617","143,746","9,113",360,"9,473","1,632",316,"11,421","10,082",241,"10,323","3,721",239,"14,283","-2,862",-1.05 ,"-2,089",-0.77 ,-773,-0.28 
012033,北海道,小樽市,"55,515","67,412","122,927","65,298","3,295",172,"3,467",604,61,"4,132","4,148",119,"4,267","1,910",56,"6,233","-2,101",-1.68 ,"-1,306",-1.04 ,-795,-0.64 
012041,北海道,旭川市,"160,453","184,835","345,288","177,924","10,877",483,"11,360","2,325",154,"13,839","11,390",293,"11,683","4,019",56,"15,758","-1,919",-0.55 ,"-1,694",-0.49 ,-225,-0.06 
012050,北海道,室蘭市,"42,530","46,088","88,618","46,914","3,329",125,"3,454",577,43,"4,074","3,885",94,"3,979","1,257",19,"5,255","-1,181",-1.32 ,-680,-0.76 ,-501,-0.56 
012068,北海道,釧路市,"83,219","93,357","176,576","94,786","6,246",203,"6,449","1,128",39,"7,616","7,064",149,"7,213","2,125",96,"9,434","-1,818",-1.02 ,-997,-0.56 ,-821,-0.46 
012076,北海道,帯広市,"80,377","88,162","168,539","85,910","7,577",262,"7,839","1,338",74,"9,251","7,533",202,"7,735","1,667",63,"9,465",-214,-0.13 ,-329,-0.19 ,115,0.07 
012084,北海道,北見市,"57,506","63,542","121,048","61,402","4,102",103,"4,205",814,50,"5,069","4,645",127,"4,772","1,399",48,"6,219","-1,150",-0.94 ,-585,-0.48 ,-565,-0.46 
012092,北海道,夕張市,"4,232","4,824","9,056","5,183",255,72,327,21,5,353,440,93,533,201,3,737,-384,-4.07 ,-180,-1.91 ,-204,-2.16 
012106,北海道,岩見沢市,"39,689","45,120","84,809","42,008","2,671",49,"2,720",491,21,"3,232","3,319",61,"3,380","1,080",17,"4,477","-1,245",-1.45 ,-589,-0.68 ,-656,-0.76 
012114,北海道,網走市,"18,331","19,021","37,352","18,513","1,774",66,"1,840",278,52,"2,170","2,095",54,"2,149",393,16,"2,558",-388,-1.03 ,-115,-0.30 ,-273,-0.72 
012122,北海道,留萌市,"10,714","11,789","22,503","11,832","1,104",12,"1,116",149,8,"1,273","1,381",35,"1,416",309,2,"1,727",-454,-1.98 ,-160,-0.70 ,-294,-1.28 
012131,北海道,苫小牧市,"84,849","88,945","173,794","86,877","6,133",194,"6,327","1,447",40,"7,814","6,153",139,"6,292","1,746",46,"8,084",-270,-0.16 ,-299,-0.17 ,29,0.02 
012149,北海道,稚内市,"17,719","18,465","36,184","18,459","1,320",87,"1,407",262,16,"1,685","1,764",115,"1,879",444,5,"2,328",-643,-1.75 ,-182,-0.49 ,-461,-1.25 
012157,北海道,美唄市,"11,061","12,329","23,390","12,180",527,6,533,81,11,625,781,4,785,431,3,"1,219",-594,-2.48 ,-350,-1.46 ,-244,-1.02 
012165,北海道,芦別市,"6,844","8,130","14,974","8,105",323,21,344,53,0,397,506,30,536,291,0,827,-430,-2.79 ,-238,-1.55 ,-192,-1.25 
012173,北海道,江別市,"56,799","62,718","119,517","55,592","4,580",276,"4,856",614,32,"5,502","4,832",127,"4,959","1,196",55,"6,210",-708,-0.59 ,-582,-0.48 ,-126,-0.10 
012181,北海道,赤平市,"5,051","5,978","11,029","6,229",270,17,287,31,3,321,420,16,436,237,2,675,-354,-3.11 ,-206,-1.81 ,-148,-1.30 
012190,北海道,紋別市,"10,952","12,325","23,277","12,130",823,159,982,128,5,"1,115","1,043",99,"1,142",334,6,"1,482",-367,-1.55 ,-206,-0.87 ,-161,-0.68 
012203,北海道,士別市,"9,549","10,667","20,216","9,676",500,22,522,102,1,625,802,15,817,256,12,"1,085",-460,-2.22 ,-154,-0.74 ,-306,-1.48 
012211,北海道,名寄市,"13,966","14,667","28,633","14,284","1,241",102,"1,343",236,14,"1,593","1,590",98,"1,688",364,7,"2,059",-466,-1.60 ,-128,-0.44 ,-338,-1.16 
012220,北海道,三笠市,"4,176","5,070","9,246","5,225",330,5,335,42,4,381,439,1,440,214,0,654,-273,-2.87 ,-172,-1.81 ,-101,-1.06 
012238,北海道,根室市,"13,218","14,411","27,629","12,954",807,190,997,187,17,"1,201","1,209",73,"1,282",336,4,"1,622",-421,-1.50 ,-149,-0.53 ,-272,-0.97 
012246,北海道,千歳市,"48,744","47,179","95,923","47,265","5,679",261,"5,940",900,85,"6,925","5,739",92,"5,831",662,41,"6,534",391,0.41 ,238,0.25 ,153,0.16 
012254,北海道,滝川市,"19,617","21,943","41,560","21,449","2,020",28,"2,048",272,22,"2,342","2,115",42,"2,157",530,19,"2,706",-364,-0.87 ,-258,-0.62 ,-106,-0.25 
012262,北海道,砂川市,"8,246","9,546","17,792","9,012",625,5,630,90,9,729,791,7,798,244,7,"1,049",-320,-1.77 ,-154,-0.85 ,-166,-0.92 
012271,北海道,歌志内市,"1,707","1,957","3,664","2,074",69,1,70,12,0,82,155,0,155,90,6,251,-169,-4.41 ,-78,-2.03 ,-91,-2.37 
012289,北海道,深川市,"10,214","11,697","21,911","11,066",776,17,793,124,4,921,894,15,909,379,0,"1,288",-367,-1.65 ,-255,-1.14 ,-112,-0.50 
012297,北海道,富良野市,"10,855","12,120","22,975","11,000",934,59,993,157,11,"1,161","1,125",84,"1,209",294,7,"1,510",-349,-1.50 ,-137,-0.59 ,-212,-0.91 
012301,北海道,登別市,"23,853","26,248","50,101","25,024","1,951",55,"2,006",312,19,"2,337","2,167",41,"2,208",588,11,"2,807",-470,-0.93 ,-276,-0.55 ,-194,-0.38 
012319,北海道,恵庭市,"33,629","35,444","69,073","31,797","3,171",112,"3,283",495,30,"3,808","2,900",90,"2,990",667,34,"3,691",117,0.17 ,-172,-0.25 ,289,0.42 
012335,北海道,伊達市,"16,574","18,977","35,551","17,944","1,291",41,"1,332",224,12,"1,568","1,291",30,"1,321",469,29,"1,819",-251,-0.70 ,-245,-0.68 ,-6,-0.02 
012343,北海道,北広島市,"28,566","30,782","59,348","26,902","2,383",49,"2,432",312,2,"2,746","2,416",50,"2,466",546,15,"3,027",-281,-0.47 ,-234,-0.39 ,-47,-0.08 
012351,北海道,石狩市,"28,609","30,593","59,202","27,189","2,344",108,"2,452",346,22,"2,820","2,240",74,"2,314",638,28,"2,980",-160,-0.27 ,-292,-0.49 ,132,0.22 
012360,北海道,北斗市,"22,405","25,198","47,603","21,937","1,699",28,"1,727",327,43,"2,097","1,934",25,"1,959",502,0,"2,461",-364,-0.76 ,-175,-0.36 ,-189,-0.39 
013030,北海道,石狩郡当別町,"8,201","8,731","16,932","7,638",637,32,669,62,1,732,838,24,862,187,2,"1,051",-319,-1.85 ,-125,-0.72 ,-194,-1.12 
013048,北海道,石狩郡新篠津村,"1,559","1,728","3,287","1,415",116,0,116,23,1,140,110,2,112,71,3,186,-46,-1.38 ,-48,-1.44 ,2,0.06 
013315,北海道,松前郡松前町,"3,805","4,230","8,035","4,277",258,7,265,21,4,290,340,7,347,159,0,506,-216,-2.62 ,-138,-1.67 ,-78,-0.95 
013323,北海道,松前郡福島町,"2,113","2,413","4,526","2,244",108,12,120,18,0,138,182,19,201,80,0,281,-143,-3.06 ,-62,-1.33 ,-81,-1.73 
013331,北海道,上磯郡知内町,"2,268","2,415","4,683","2,087",131,2,133,26,0,159,203,1,204,69,0,273,-114,-2.38 ,-43,-0.90 ,-71,-1.48 
013340,北海道,上磯郡木古内町,"2,106","2,438","4,544","2,349",115,11,126,13,0,139,174,8,182,96,0,278,-139,-2.97 ,-83,-1.77 ,-56,-1.20 
013374,北海道,亀田郡七飯町,"13,183","15,397","28,580","13,359","1,078",39,"1,117",162,22,"1,301","1,087",26,"1,113",379,14,"1,506",-205,-0.71 ,-217,-0.75 ,12,0.04 
013439,北海道,茅部郡鹿部町,"1,979","2,156","4,135","1,857",141,30,171,22,2,195,221,0,221,56,20,297,-102,-2.41 ,-34,-0.80 ,-68,-1.60 
013455,北海道,茅部郡森町,"7,783","8,809","16,592","7,737",437,77,514,97,5,616,693,43,736,257,35,"1,028",-412,-2.42 ,-160,-0.94 ,-252,-1.48 
013463,北海道,二海郡八雲町,"8,521","8,992","17,513","8,574",680,68,748,120,19,887,959,31,990,224,12,"1,226",-339,-1.90 ,-104,-0.58 ,-235,-1.32 
013471,北海道,山越郡長万部町,"2,830","3,083","5,913","3,301",595,25,620,22,3,645,585,0,585,103,16,704,-59,-0.99 ,-81,-1.36 ,22,0.37 
