平成28年1月1日住民基本台帳人口・世帯数、平成27年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
団体コード,都道府県名,市区町村名,平成28年,,,,平成27年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
013617,北海道,檜山郡江差町,"3,945","4,290","8,235","4,415",492,2,494,37,1,532,658,2,660,102,1,763,-231,-2.73 ,-65,-0.77 ,-166,-1.96 
013625,北海道,檜山郡上ノ国町,"2,469","2,828","5,297","2,593",128,1,129,18,0,147,200,0,200,91,2,293,-146,-2.68 ,-73,-1.34 ,-73,-1.34 
013633,北海道,檜山郡厚沢部町,"1,998","2,177","4,175","1,984",123,37,160,24,0,184,184,11,195,72,0,267,-83,-1.95 ,-48,-1.13 ,-35,-0.82 
013641,北海道,爾志郡乙部町,"1,837","2,139","3,976","1,924",119,3,122,14,2,138,143,4,147,74,0,221,-83,-2.04 ,-60,-1.48 ,-23,-0.57 
013676,北海道,奥尻郡奥尻町,"1,482","1,379","2,861","1,570",158,0,158,21,1,180,203,0,203,55,0,258,-78,-2.65 ,-34,-1.16 ,-44,-1.50 
013706,北海道,瀬棚郡今金町,"2,667","2,959","5,626","2,612",173,6,179,33,1,213,224,8,232,85,0,317,-104,-1.82 ,-52,-0.91 ,-52,-0.91 
013714,北海道,久遠郡せたな町,"4,063","4,574","8,637","4,376",238,3,241,34,5,280,320,1,321,162,5,488,-208,-2.35 ,-128,-1.45 ,-80,-0.90 
013919,北海道,島牧郡島牧村,768,805,"1,573",857,48,0,48,7,0,55,81,0,81,32,0,113,-58,-3.56 ,-25,-1.53 ,-33,-2.02 
013927,北海道,寿都郡寿都町,"1,556","1,620","3,176","1,753",137,12,149,18,0,167,177,16,193,56,0,249,-82,-2.52 ,-38,-1.17 ,-44,-1.35 
013935,北海道,寿都郡黒松内町,"1,407","1,616","3,023","1,555",135,0,135,12,1,148,175,0,175,47,0,222,-74,-2.39 ,-35,-1.13 ,-39,-1.26 
013943,北海道,磯谷郡蘭越町,"2,380","2,569","4,949","2,369",164,4,168,24,0,192,191,1,192,80,1,273,-81,-1.61 ,-56,-1.11 ,-25,-0.50 
013951,北海道,虻田郡ニセコ町,"2,540","2,516","5,056","2,525",311,220,531,39,7,577,315,93,408,52,44,504,73,1.46 ,-13,-0.26 ,86,1.73 
013960,北海道,虻田郡真狩村,"1,024","1,073","2,097",926,72,5,77,13,0,90,104,8,112,37,0,149,-59,-2.74 ,-24,-1.11 ,-35,-1.62 
013978,北海道,虻田郡留寿都村,965,990,"1,955",976,107,154,261,15,3,279,153,28,181,21,8,210,69,3.66 ,-6,-0.32 ,75,3.98 
013986,北海道,虻田郡喜茂別町,"1,175","1,139","2,314","1,304",108,15,123,8,0,131,154,5,159,37,22,218,-87,-3.62 ,-29,-1.21 ,-58,-2.42 
013994,北海道,虻田郡京極町,"1,544","1,617","3,161","1,488",98,1,99,15,0,114,124,1,125,42,1,168,-54,-1.68 ,-27,-0.84 ,-27,-0.84 
014001,北海道,虻田郡倶知安町,"8,092","7,968","16,060","8,419","1,041",917,"1,958",151,10,"2,119","1,105",236,"1,341",136,407,"1,884",235,1.48 ,15,0.09 ,220,1.39 
014010,北海道,岩内郡共和町,"3,113","3,100","6,213","2,890",231,3,234,49,4,287,344,7,351,73,2,426,-139,-2.19 ,-24,-0.38 ,-115,-1.81 
014028,北海道,岩内郡岩内町,"6,328","7,100","13,428","7,060",432,6,438,77,3,518,617,13,630,230,0,860,-342,-2.48 ,-153,-1.11 ,-189,-1.37 
014036,北海道,古宇郡泊村,818,930,"1,748",935,77,1,78,6,2,86,76,0,76,25,2,103,-17,-0.96 ,-19,-1.08 ,2,0.11 
014044,北海道,古宇郡神恵内村,446,477,923,490,23,0,23,4,1,28,31,0,31,20,0,51,-23,-2.43 ,-16,-1.69 ,-7,-0.74 
014052,北海道,積丹郡積丹町,"1,063","1,198","2,261","1,159",59,4,63,11,1,75,97,1,98,50,0,148,-73,-3.13 ,-39,-1.67 ,-34,-1.46 
014061,北海道,古平郡古平町,"1,579","1,765","3,344","1,854",57,19,76,14,0,90,107,13,120,54,3,177,-87,-2.54 ,-40,-1.17 ,-47,-1.37 
014079,北海道,余市郡仁木町,"1,663","1,787","3,450","1,748",123,152,275,15,3,293,147,147,294,64,3,361,-68,-1.93 ,-49,-1.39 ,-19,-0.54 
014087,北海道,余市郡余市町,"9,214","10,665","19,879","10,117",755,27,782,86,8,876,770,54,824,305,20,"1,149",-273,-1.35 ,-219,-1.09 ,-54,-0.27 
014095,北海道,余市郡赤井川村,584,566,"1,150",580,84,28,112,6,1,119,81,8,89,11,8,108,11,0.97 ,-5,-0.44 ,16,1.40 
014231,北海道,空知郡南幌町,"3,780","4,180","7,960","3,462",212,16,228,41,3,272,371,19,390,75,2,467,-195,-2.39 ,-34,-0.42 ,-161,-1.97 
014249,北海道,空知郡奈井江町,"2,718","3,037","5,755","2,902",177,3,180,21,0,201,190,1,191,103,2,296,-95,-1.62 ,-82,-1.40 ,-13,-0.22 
014257,北海道,空知郡上砂川町,"1,528","1,828","3,356","1,937",100,0,100,12,2,114,172,0,172,81,3,256,-142,-4.06 ,-69,-1.97 ,-73,-2.09 
014273,北海道,夕張郡由仁町,"2,628","2,903","5,531","2,477",142,1,143,28,0,171,177,0,177,87,0,264,-93,-1.65 ,-59,-1.05 ,-34,-0.60 
014281,北海道,夕張郡長沼町,"5,464","5,881","11,345","5,009",382,8,390,45,3,438,432,1,433,147,2,582,-144,-1.25 ,-102,-0.89 ,-42,-0.37 
014290,北海道,夕張郡栗山町,"5,846","6,635","12,481","5,973",402,14,416,65,2,483,477,27,504,187,0,691,-208,-1.64 ,-122,-0.96 ,-86,-0.68 
014303,北海道,樺戸郡月形町,"1,782","1,711","3,493","1,761",149,1,150,12,4,166,193,0,193,55,2,250,-84,-2.35 ,-43,-1.20 ,-41,-1.15 
014311,北海道,樺戸郡浦臼町,978,"1,059","2,037",924,57,3,60,8,5,73,80,1,81,32,1,114,-41,-1.97 ,-24,-1.15 ,-17,-0.82 
014320,北海道,樺戸郡新十津川町,"3,170","3,695","6,865","2,980",186,6,192,43,1,236,190,6,196,103,1,300,-64,-0.92 ,-60,-0.87 ,-4,-0.06 
014338,北海道,雨竜郡妹背牛町,"1,508","1,682","3,190","1,447",81,0,81,16,0,97,102,1,103,45,0,148,-51,-1.57 ,-29,-0.89 ,-22,-0.68 
014346,北海道,雨竜郡秩父別町,"1,200","1,337","2,537","1,127",51,0,51,18,0,69,107,0,107,39,0,146,-77,-2.95 ,-21,-0.80 ,-56,-2.14 
014362,北海道,雨竜郡雨竜町,"1,251","1,359","2,610","1,201",69,4,73,8,0,81,110,0,110,40,3,153,-72,-2.68 ,-32,-1.19 ,-40,-1.49 
014371,北海道,雨竜郡北竜町,947,"1,048","1,995",849,45,0,45,10,0,55,66,0,66,35,0,101,-46,-2.25 ,-25,-1.22 ,-21,-1.03 
014389,北海道,雨竜郡沼田町,"1,541","1,717","3,258","1,558",108,0,108,18,4,130,154,0,154,49,3,206,-76,-2.28 ,-31,-0.93 ,-45,-1.35 
014524,北海道,上川郡鷹栖町,"3,391","3,808","7,199","3,099",181,0,181,43,0,224,205,3,208,81,0,289,-65,-0.89 ,-38,-0.52 ,-27,-0.37 
014532,北海道,上川郡東神楽町,"4,916","5,469","10,385","4,237",508,6,514,71,6,591,343,8,351,90,2,443,148,1.45 ,-19,-0.19 ,167,1.63 
014541,北海道,上川郡当麻町,"3,134","3,631","6,765","3,071",219,6,225,34,3,262,224,4,228,103,0,331,-69,-1.01 ,-69,-1.01 ,0,0.00 
014559,北海道,上川郡比布町,"1,825","2,049","3,874","1,835",105,2,107,17,1,125,126,3,129,46,0,175,-50,-1.27 ,-29,-0.74 ,-21,-0.54 
014567,北海道,上川郡愛別町,"1,427","1,611","3,038","1,445",73,123,196,21,0,217,217,13,230,55,0,285,-68,-2.19 ,-34,-1.09 ,-34,-1.09 
014575,北海道,上川郡上川町,"1,833","2,052","3,885","2,130",181,21,202,18,1,221,252,29,281,58,9,348,-127,-3.17 ,-40,-1.00 ,-87,-2.17 
014583,北海道,上川郡東川町,"3,757","4,348","8,105","3,657",422,93,515,47,1,563,327,24,351,85,16,452,111,1.39 ,-38,-0.48 ,149,1.86 
014591,北海道,上川郡美瑛町,"4,897","5,541","10,438","4,775",321,24,345,64,3,412,381,23,404,159,4,567,-155,-1.46 ,-95,-0.90 ,-60,-0.57 
014605,北海道,空知郡上富良野町,"5,598","5,542","11,140","5,234",508,20,528,84,5,617,611,9,620,120,0,740,-123,-1.09 ,-36,-0.32 ,-87,-0.77 
014613,北海道,空知郡中富良野町,"2,438","2,693","5,131","2,158",148,5,153,28,1,182,235,3,238,84,1,323,-141,-2.67 ,-56,-1.06 ,-85,-1.61 
014621,北海道,空知郡南富良野町,"1,325","1,318","2,643","1,448",134,3,137,18,0,155,117,0,117,44,1,162,-7,-0.26 ,-26,-0.98 ,19,0.72 
014630,北海道,勇払郡占冠村,596,646,"1,242",739,137,93,230,11,1,242,166,26,192,9,17,218,24,1.97 ,2,0.16 ,22,1.81 
014648,北海道,上川郡和寒町,"1,663","1,942","3,605","1,718",95,3,98,16,0,114,135,4,139,67,2,208,-94,-2.54 ,-51,-1.38 ,-43,-1.16 
014656,北海道,上川郡剣淵町,"1,605","1,712","3,317","1,536",132,2,134,11,0,145,127,3,130,57,0,187,-42,-1.25 ,-46,-1.37 ,4,0.12 
014681,北海道,上川郡下川町,"1,626","1,797","3,423","1,782",128,24,152,13,0,165,155,18,173,63,0,236,-71,-2.03 ,-50,-1.43 ,-21,-0.60 
014699,北海道,中川郡美深町,"2,265","2,386","4,651","2,336",203,21,224,21,7,252,240,23,263,65,0,328,-76,-1.61 ,-44,-0.93 ,-32,-0.68 
014702,北海道,中川郡音威子府村,404,380,784,481,97,4,101,5,1,107,116,0,116,7,0,123,-16,-2.00 ,-2,-0.25 ,-14,-1.75 
014711,北海道,中川郡中川町,844,839,"1,683",853,86,10,96,14,0,110,97,8,105,30,0,135,-25,-1.46 ,-16,-0.94 ,-9,-0.53 
014729,北海道,雨竜郡幌加内町,778,786,"1,564",798,79,0,79,5,1,85,116,0,116,25,0,141,-56,-3.46 ,-20,-1.23 ,-36,-2.22 
014818,北海道,増毛郡増毛町,"2,159","2,573","4,732","2,429",109,27,136,11,0,147,176,41,217,89,2,308,-161,-3.29 ,-78,-1.59 ,-83,-1.70 
014826,北海道,留萌郡小平町,"1,572","1,752","3,324","1,647",109,1,110,14,0,124,136,1,137,52,5,194,-70,-2.06 ,-38,-1.12 ,-32,-0.94 
014834,北海道,苫前郡苫前町,"1,574","1,747","3,321","1,592",98,0,98,14,0,112,119,2,121,57,3,181,-69,-2.04 ,-43,-1.27 ,-26,-0.77 
014842,北海道,苫前郡羽幌町,"3,555","3,899","7,454","3,696",240,11,251,48,0,299,287,5,292,103,2,397,-98,-1.30 ,-55,-0.73 ,-43,-0.57 
014851,北海道,苫前郡初山別村,594,660,"1,254",569,51,0,51,8,0,59,68,0,68,20,0,88,-29,-2.26 ,-12,-0.94 ,-17,-1.33 
014869,北海道,天塩郡遠別町,"1,382","1,454","2,836","1,363",71,0,71,12,0,83,109,3,112,36,0,148,-65,-2.24 ,-24,-0.83 ,-41,-1.41 
014877,北海道,天塩郡天塩町,"1,654","1,618","3,272","1,590",173,8,181,15,1,197,198,3,201,43,5,249,-52,-1.56 ,-28,-0.84 ,-24,-0.72 
015113,北海道,宗谷郡猿払村,"1,338","1,411","2,749","1,201",108,36,144,26,0,170,128,41,169,27,8,204,-34,-1.22 ,-1,-0.04 ,-33,-1.19 
015121,北海道,枝幸郡浜頓別町,"1,885","1,990","3,875","1,967",186,50,236,22,8,266,232,6,238,37,49,324,-58,-1.47 ,-15,-0.38 ,-43,-1.09 
015130,北海道,枝幸郡中頓別町,889,913,"1,802",912,77,0,77,10,0,87,112,2,114,34,0,148,-61,-3.27 ,-24,-1.29 ,-37,-1.99 
015148,北海道,枝幸郡枝幸町,"4,076","4,511","8,587","4,043",285,73,358,42,0,400,342,3,345,113,77,535,-135,-1.55 ,-71,-0.81 ,-64,-0.73 
015164,北海道,天塩郡豊富町,"2,059","2,045","4,104","1,982",165,7,172,24,3,199,199,3,202,59,6,267,-68,-1.63 ,-35,-0.84 ,-33,-0.79 
015172,北海道,礼文郡礼文町,"1,327","1,358","2,685","1,322",163,1,164,18,3,185,168,6,174,52,0,226,-41,-1.50 ,-34,-1.25 ,-7,-0.26 
015181,北海道,利尻郡利尻町,"1,060","1,147","2,207","1,142",115,0,115,15,1,131,62,52,114,46,0,160,-29,-1.30 ,-31,-1.39 ,2,0.09 
015199,北海道,利尻郡利尻富士町,"1,280","1,406","2,686","1,315",102,5,107,14,0,121,133,15,148,36,0,184,-63,-2.29 ,-22,-0.80 ,-41,-1.49 
015202,北海道,天塩郡幌延町,"1,258","1,190","2,448","1,271",139,4,143,28,1,172,191,4,195,29,1,225,-53,-2.12 ,-1,-0.04 ,-52,-2.08 
015431,北海道,網走郡美幌町,"9,900","10,627","20,527","9,674",761,1,762,118,7,887,926,11,937,274,0,"1,211",-324,-1.55 ,-156,-0.75 ,-168,-0.81 
015440,北海道,網走郡津別町,"2,471","2,640","5,111","2,467",153,6,159,26,0,185,217,4,221,84,0,305,-120,-2.29 ,-58,-1.11 ,-62,-1.19 
015458,北海道,斜里郡斜里町,"5,940","6,079","12,019","5,590",414,16,430,84,6,520,518,23,541,146,0,687,-167,-1.37 ,-62,-0.51 ,-105,-0.86 
015466,北海道,斜里郡清里町,"2,107","2,201","4,308","1,811",111,1,112,29,1,142,154,2,156,57,1,214,-72,-1.64 ,-28,-0.64 ,-44,-1.00 
015474,北海道,斜里郡小清水町,"2,437","2,705","5,142","2,144",152,0,152,41,4,197,201,13,214,64,4,282,-85,-1.63 ,-23,-0.44 ,-62,-1.19 
015491,北海道,常呂郡訓子府町,"2,491","2,774","5,265","2,089",153,3,156,23,2,181,168,11,179,59,1,239,-58,-1.09 ,-36,-0.68 ,-22,-0.41 
015504,北海道,常呂郡置戸町,"1,436","1,646","3,082","1,499",116,3,119,25,0,144,140,2,142,56,2,200,-56,-1.78 ,-31,-0.99 ,-25,-0.80 
015521,北海道,常呂郡佐呂間町,"2,588","2,909","5,497","2,524",133,29,162,25,0,187,202,62,264,70,0,334,-147,-2.60 ,-45,-0.80 ,-102,-1.81 
015555,北海道,紋別郡遠軽町,"10,241","10,871","21,112","10,619",848,5,853,135,8,996,"1,001",13,"1,014",299,3,"1,316",-320,-1.49 ,-164,-0.77 ,-156,-0.73 
015598,北海道,紋別郡湧別町,"4,482","4,922","9,404","4,213",243,59,302,51,7,360,307,57,364,120,7,491,-131,-1.37 ,-69,-0.72 ,-62,-0.65 
015601,北海道,紋別郡滝上町,"1,329","1,455","2,784","1,479",107,11,118,18,3,139,126,10,136,65,1,202,-63,-2.21 ,-47,-1.65 ,-16,-0.56 
015610,北海道,紋別郡興部町,"1,961","2,045","4,006","1,847",161,32,193,21,2,216,228,24,252,56,8,316,-100,-2.44 ,-35,-0.85 ,-65,-1.58 
015628,北海道,紋別郡西興部村,563,591,"1,154",691,92,10,102,5,0,107,71,1,72,28,0,100,7,0.61 ,-23,-2.01 ,30,2.62 
015636,北海道,紋別郡雄武町,"2,189","2,427","4,616","2,208",132,68,200,33,0,233,178,74,252,60,5,317,-84,-1.79 ,-27,-0.57 ,-57,-1.21 
015644,北海道,網走郡大空町,"3,656","3,899","7,555","3,071",233,7,240,45,1,286,320,3,323,114,2,439,-153,-1.98 ,-69,-0.90 ,-84,-1.09 
015717,北海道,虻田郡豊浦町,"2,002","2,260","4,262","2,283",236,14,250,27,4,281,226,10,236,81,8,325,-44,-1.02 ,-54,-1.25 ,10,0.23 
