平成31年1月1日住民基本台帳人口・世帯数、平成30年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,平成31年,,,,平成30年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
401323,福岡県,福岡市博多区,"111,637","118,754","230,391","138,586","24,825","2,363","27,188","2,475",231,"29,894","23,346",593,"23,939","1,819",821,"26,579","3,315",1.46 ,656,0.29 ,"2,659",1.17 
401331,福岡県,福岡市中央区,"83,452","104,171","187,623","111,657","19,266","1,157","20,423","1,649",221,"22,293","17,699",629,"18,328","1,198",429,"19,955","2,338",1.26 ,451,0.24 ,"1,887",1.02 
401340,福岡県,福岡市南区,"123,148","138,489","261,637","130,384","16,344","1,585","17,929","2,376",149,"20,454","15,224",410,"15,634","2,156",466,"18,256","2,198",0.85 ,220,0.08 ,"1,978",0.76 
401358,福岡県,福岡市西区,"99,465","108,921","208,386","95,040","12,112","1,217","13,329","1,921",163,"15,413","11,568",611,"12,179","1,782",235,"14,196","1,217",0.59 ,139,0.07 ,"1,078",0.52 
401366,福岡県,福岡市城南区,"59,151","65,920","125,071","61,948","8,384",501,"8,885","1,008",68,"9,961","7,795",263,"8,058","1,039",123,"9,220",741,0.60 ,-31,-0.02 ,772,0.62 
401374,福岡県,福岡市早良区,"103,462","114,822","218,284","100,257","12,923","1,030","13,953","1,835",127,"15,915","12,827",533,"13,360","1,854",179,"15,393",522,0.24 ,-19,-0.01 ,541,0.25 
402028,福岡県,大牟田市,"53,343","61,967","115,310","56,897","2,918",456,"3,374",758,45,"4,177","3,388",211,"3,599","1,837",9,"5,445","-1,268",-1.09 ,"-1,079",-0.93 ,-189,-0.16 
402036,福岡県,久留米市,"145,262","160,850","306,112","134,793","11,697","1,353","13,050","2,808",227,"16,085","12,101",593,"12,694","3,288",452,"16,434",-349,-0.11 ,-480,-0.16 ,131,0.04 
402044,福岡県,直方市,"26,798","29,981","56,779","27,084","2,133",85,"2,218",397,25,"2,640","2,145",60,"2,205",750,57,"3,012",-372,-0.65 ,-353,-0.62 ,-19,-0.03 
402052,福岡県,飯塚市,"61,177","67,825","129,002","62,211","4,451",389,"4,840",983,71,"5,894","4,819",137,"4,956","1,614",123,"6,693",-799,-0.62 ,-631,-0.49 ,-168,-0.13 
402061,福岡県,田川市,"22,273","25,725","47,998","24,465","1,590",155,"1,745",366,58,"2,169","2,008",61,"2,069",675,70,"2,814",-645,-1.33 ,-309,-0.64 ,-336,-0.69 
