令和2年1月1日住民基本台帳人口・世帯数、令和元年（平成31年1月1日から令和元年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,令和2年,,,,令和元年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
413453,佐賀県,三養基郡上峰町,"4,638","4,982","9,620","3,671",557,5,562,94,2,658,501,5,506,79,11,596,62,0.65 ,15,0.16 ,47,0.49 
413461,佐賀県,三養基郡みやき町,"12,335","13,344","25,679","9,950","1,095",120,"1,215",194,18,"1,427",885,49,934,335,27,"1,296",131,0.51 ,-141,-0.55 ,272,1.06 
413801,佐賀県,東松浦郡,"2,824","2,681","5,505","1,967",172,1,173,32,5,210,257,1,258,97,0,355,-145,-2.57 ,-65,-1.15 ,-80,-1.42 
413879,佐賀県,東松浦郡玄海町,"2,824","2,681","5,505","1,967",172,1,173,32,5,210,257,1,258,97,0,355,-145,-2.57 ,-65,-1.15 ,-80,-1.42 
414000,佐賀県,西松浦郡,"9,250","10,562","19,812","7,812",478,24,502,123,10,635,630,29,659,245,10,914,-279,-1.39 ,-122,-0.61 ,-157,-0.78 
414018,佐賀県,西松浦郡有田町,"9,250","10,562","19,812","7,812",478,24,502,123,10,635,630,29,659,245,10,914,-279,-1.39 ,-122,-0.61 ,-157,-0.78 
414204,佐賀県,杵島郡,"18,334","20,596","38,930","13,951","1,058",77,"1,135",299,16,"1,450","1,303",43,"1,346",605,31,"1,982",-532,-1.35 ,-306,-0.78 ,-226,-0.57 
414239,佐賀県,杵島郡大町町,"2,959","3,450","6,409","2,723",194,6,200,42,5,247,256,3,259,117,1,377,-130,-1.99 ,-75,-1.15 ,-55,-0.84 
414247,佐賀県,杵島郡江北町,"4,583","5,158","9,741","3,551",448,37,485,113,5,603,389,2,391,133,17,541,62,0.64 ,-20,-0.21 ,82,0.85 
414255,佐賀県,杵島郡白石町,"10,792","11,988","22,780","7,677",416,34,450,144,6,600,658,38,696,355,13,"1,064",-464,-2.00 ,-211,-0.91 ,-253,-1.09 
