平成30年1月1日住民基本台帳人口・世帯数、平成29年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,（単位：人、世帯、％）
団体コード,都道府県名,市区町村名,平成30年,,,,平成29年,,,,,,,,,,,,,,,,,
,,,人口,,,世帯数,住民票記載数,,,,,,住民票消除数,,,,,,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,,,男,女,人,,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（計）,計（Ｂ）,,,,,,
362051,徳島県,吉野川市,"19,814","22,034","41,848","18,027",885,83,968,256,12,"1,236","1,099",42,"1,141",635,71,"1,847",-611,-1.44 ,-379,-0.89 ,-232,-0.55 
362069,徳島県,阿波市,"18,294","20,014","38,308","15,342",729,412,"1,141",217,4,"1,362","1,121",26,"1,147",515,84,"1,746",-384,-0.99 ,-298,-0.77 ,-86,-0.22 
362077,徳島県,美馬市,"14,265","15,698","29,963","12,858",673,54,727,163,13,903,757,11,768,501,61,"1,330",-427,-1.41 ,-338,-1.11 ,-89,-0.29 
362085,徳島県,三好市,"12,659","14,293","26,952","12,890",573,55,628,118,12,758,831,61,892,536,29,"1,457",-699,-2.53 ,-418,-1.51 ,-281,-1.02 
363006,徳島県,勝浦郡,"3,352","3,604","6,956","2,990",157,2,159,35,2,196,164,1,165,132,7,304,-108,-1.53 ,-97,-1.37 ,-11,-0.16 
363014,徳島県,勝浦郡勝浦町,"2,591","2,783","5,374","2,194",122,2,124,27,2,153,127,0,127,94,6,227,-74,-1.36 ,-67,-1.23 ,-7,-0.13 
363022,徳島県,勝浦郡上勝町,761,821,"1,582",796,35,0,35,8,0,43,37,1,38,38,1,77,-34,-2.10 ,-30,-1.86 ,-4,-0.25 
363201,徳島県,名東郡,"1,172","1,240","2,412",954,43,2,45,10,0,55,58,2,60,41,2,103,-48,-1.95 ,-31,-1.26 ,-17,-0.69 
363219,徳島県,名東郡佐那河内村,"1,172","1,240","2,412",954,43,2,45,10,0,55,58,2,60,41,2,103,-48,-1.95 ,-31,-1.26 ,-17,-0.69 
363405,徳島県,名西郡,"14,966","16,629","31,595","13,062",898,36,934,183,0,"1,117",886,15,901,468,34,"1,403",-286,-0.90 ,-285,-0.89 ,-1,-0.00 
363413,徳島県,名西郡石井町,"12,385","13,746","26,131","10,579",807,26,833,166,0,999,733,15,748,317,27,"1,092",-93,-0.35 ,-151,-0.58 ,58,0.22 
363421,徳島県,名西郡神山町,"2,581","2,883","5,464","2,483",91,10,101,17,0,118,153,0,153,151,7,311,-193,-3.41 ,-134,-2.37 ,-59,-1.04 
363600,徳島県,那賀郡,"4,066","4,525","8,591","3,896",144,5,149,40,7,196,248,11,259,205,1,465,-269,-3.04 ,-165,-1.86 ,-104,-1.17 
363685,徳島県,那賀郡那賀町,"4,066","4,525","8,591","3,896",144,5,149,40,7,196,248,11,259,205,1,465,-269,-3.04 ,-165,-1.86 ,-104,-1.17 
363804,徳島県,海部郡,"9,746","11,089","20,835","10,130",546,6,552,70,5,627,649,12,661,423,52,"1,136",-509,-2.38 ,-353,-1.65 ,-156,-0.73 
363839,徳島県,海部郡牟岐町,"2,001","2,246","4,247","2,103",107,0,107,9,0,116,163,9,172,75,1,248,-132,-3.01 ,-66,-1.51 ,-66,-1.51 
363871,徳島県,海部郡美波町,"3,221","3,742","6,963","3,347",185,0,185,32,4,221,218,0,218,150,4,372,-151,-2.12 ,-118,-1.66 ,-33,-0.46 
363880,徳島県,海部郡海陽町,"4,524","5,101","9,625","4,680",254,6,260,29,1,290,268,3,271,198,47,516,-226,-2.29 ,-169,-1.72 ,-57,-0.58 
364002,徳島県,板野郡,"48,186","51,112","99,298","40,804","4,014",185,"4,199",842,21,"5,062","3,870",130,"4,000","1,036",126,"5,162",-100,-0.10 ,-194,-0.20 ,94,0.09 
364011,徳島県,板野郡松茂町,"7,562","7,622","15,184","6,616",776,15,791,124,1,916,880,21,901,158,22,"1,081",-165,-1.07 ,-34,-0.22 ,-131,-0.85 
364029,徳島県,板野郡北島町,"11,279","11,873","23,152","9,567",988,82,"1,070",220,5,"1,295",994,39,"1,033",209,4,"1,246",49,0.21 ,11,0.05 ,38,0.16 
364037,徳島県,板野郡藍住町,"16,947","18,200","35,147","14,160","1,505",47,"1,552",342,10,"1,904","1,306",41,"1,347",318,50,"1,715",189,0.54 ,24,0.07 ,165,0.47 
364045,徳島県,板野郡板野町,"6,545","7,049","13,594","5,596",474,18,492,85,3,580,395,28,423,195,19,637,-57,-0.42 ,-110,-0.81 ,53,0.39 
364053,徳島県,板野郡上板町,"5,853","6,368","12,221","4,865",271,23,294,71,2,367,295,1,296,156,31,483,-116,-0.94 ,-85,-0.69 ,-31,-0.25 
364606,徳島県,美馬郡,"4,349","4,959","9,308","4,423",158,4,162,34,14,210,258,4,262,217,3,482,-272,-2.84 ,-183,-1.91 ,-89,-0.93 
364681,徳島県,美馬郡つるぎ町,"4,349","4,959","9,308","4,423",158,4,162,34,14,210,258,4,262,217,3,482,-272,-2.84 ,-183,-1.91 ,-89,-0.93 
364801,徳島県,三好郡,"6,944","7,650","14,594","6,254",364,19,383,86,4,473,406,15,421,240,2,663,-190,-1.29 ,-154,-1.04 ,-36,-0.24 
364894,徳島県,三好郡東みよし町,"6,944","7,650","14,594","6,254",364,19,383,86,4,473,406,15,421,240,2,663,-190,-1.29 ,-154,-1.04 ,-36,-0.24 
370002,香川県,,"480,176","513,029","993,205","438,842","30,602","3,888","34,490","7,448",419,"42,357","32,107","1,705","33,812","11,933","1,218","46,963","-4,606",-0.46 ,"-4,485",-0.45 ,-121,-0.01 
372013,香川県,高松市,"207,216","221,973","429,189","195,512","13,797","1,328","15,125","3,645",215,"18,985","13,796",533,"14,329","4,354",355,"19,038",-53,-0.01 ,-709,-0.17 ,656,0.15 
