令和3年1月1日住民基本台帳人口・世帯数、令和2年（1月1日から同年12月31日まで）人口動態（市区町村別）（総計）,,,
,,,令和3年
,,,2021年
,,,人口
,,,計
団体コード,都道府県名,市区町村名,人
015644,北海道,網走郡大空町,6963 
015717,北海道,虻田郡豊浦町,3759 
015750,北海道,有珠郡壮瞥町,2429 
015784,北海道,白老郡白老町,16356 
015814,北海道,勇払郡厚真町,4420 
015849,北海道,虻田郡洞爺湖町,8494 
015857,北海道,勇払郡安平町,7566 
015865,北海道,勇払郡むかわ町,7734 
016012,北海道,沙流郡日高町,11647 
016021,北海道,沙流郡平取町,4785 
016047,北海道,新冠郡新冠町,5392 
016071,北海道,浦河郡浦河町,11998 
016080,北海道,様似郡様似町,4125 
016098,北海道,幌泉郡えりも町,4516 
016101,北海道,日高郡新ひだか町,21872 
016314,北海道,河東郡音更町,44045 
016322,北海道,河東郡士幌町,6027 
016331,北海道,河東郡上士幌町,4964 
016349,北海道,河東郡鹿追町,5247 
016357,北海道,上川郡新得町,5835 
016365,北海道,上川郡清水町,9305 
016373,北海道,河西郡芽室町,18326 
016381,北海道,河西郡中札内村,3922 
016390,北海道,河西郡更別村,3151 
016411,北海道,広尾郡大樹町,5451 
016420,北海道,広尾郡広尾町,6547 
016438,北海道,中川郡幕別町,26443 
016446,北海道,中川郡池田町,6440 
016454,北海道,中川郡豊頃町,3088 
016462,北海道,中川郡本別町,6733 
016471,北海道,足寄郡足寄町,6684 
016489,北海道,足寄郡陸別町,2314 
016497,北海道,十勝郡浦幌町,4544 
016616,北海道,釧路郡釧路町,19392 
016624,北海道,厚岸郡厚岸町,9064 
016632,北海道,厚岸郡浜中町,5664 
016641,北海道,川上郡標茶町,7425 
016659,北海道,川上郡弟子屈町,6937 
016675,北海道,阿寒郡鶴居村,2520 
016683,北海道,白糠郡白糠町,7539 
016918,北海道,野付郡別海町,14827 
016926,北海道,標津郡中標津町,23203 
016934,北海道,標津郡標津町,5123 
016942,北海道,目梨郡羅臼町,4766 
016951,北海道,色丹郡色丹村,0 
016969,北海道,国後郡泊村,0 
016977,北海道,国後郡留夜別村,0 
016985,北海道,択捉郡留別村,0 
016993,北海道,紗那郡紗那村,0 
017001,北海道,蘂取郡蘂取村,0 
020001,青森県,-,1260067 
022012,青森県,青森市,278446 
022021,青森県,弘前市,168479 
022039,青森県,八戸市,225845 
022047,青森県,黒石市,32530 
022055,青森県,五所川原市,53204 
022063,青森県,十和田市,60345 
022071,青森県,三沢市,39323 
022080,青森県,むつ市,55931 
022098,青森県,つがる市,31413 
022101,青森県,平川市,30708 
023001,青森県,東津軽郡,21555 
023019,青森県,東津軽郡平内町,10639 
023035,青森県,東津軽郡今別町,2495 
023043,青森県,東津軽郡蓬田村,2687 
023078,青森県,東津軽郡外ヶ浜町,5734 
023205,青森県,西津軽郡,17259 
023213,青森県,西津軽郡鰺ヶ沢町,9472 
023230,青森県,西津軽郡深浦町,7787 
023400,青森県,中津軽郡,1327 
023434,青森県,中津軽郡西目屋村,1327 
023604,青森県,南津軽郡,31693 
023612,青森県,南津軽郡藤崎町,14812 
023621,青森県,南津軽郡大鰐町,9182 
023671,青森県,南津軽郡田舎館村,7699 
023809,青森県,北津軽郡,36278 
023817,青森県,北津軽郡板柳町,13211 
023841,青森県,北津軽郡鶴田町,12499 
023876,青森県,北津軽郡中泊町,10568 
024007,青森県,上北郡,95934 
024015,青森県,上北郡野辺地町,12894 
024023,青森県,上北郡七戸町,15143 
024058,青森県,上北郡六戸町,10948 
024066,青森県,上北郡横浜町,4376 
024082,青森県,上北郡東北町,17154 
024112,青森県,上北郡六ヶ所村,10131 
024121,青森県,上北郡おいらせ町,25288 
024201,青森県,下北郡,14986 
024236,青森県,下北郡大間町,5125 
024244,青森県,下北郡東通村,6153 
024252,青森県,下北郡風間浦村,1796 
024261,青森県,下北郡佐井村,1912 
024406,青森県,三戸郡,64811 
024414,青森県,三戸郡三戸町,9690 
024422,青森県,三戸郡五戸町,16679 
024431,青森県,三戸郡田子町,5282 
024457,青森県,三戸郡南部町,17569 
024465,青森県,三戸郡階上町,13232 
024503,青森県,三戸郡新郷村,2359 
030007,岩手県,-,1221205 
032018,岩手県,盛岡市,286820 
032026,岩手県,宮古市,50562 
032034,岩手県,大船渡市,35107 
032051,岩手県,花巻市,94438 
